sessionid,treatmentnumber,contracts,period,message,subject,group,role,timechatchatmessage,N,reverse
091023_1009,1,contracts,30,if we both choose the same high number we'll both get more,8,1,2,49,2,0
091023_1009,1,contracts,30,thats what i was going to say,2,1,1,42,2,0
091023_1009,1,contracts,30,100 each,2,1,1,38,2,0
091023_1009,1,contracts,30,so we could both choose 100,8,1,2,34,2,0
091023_1009,1,contracts,30,yeah,8,1,2,33,2,0
091023_1009,1,contracts,30,ok,2,1,1,23,2,0
091023_1009,1,contracts,31,this works...!,8,1,2,53,2,0
091023_1009,1,contracts,31,keep doing this?,8,1,2,33,2,0
091023_1009,1,contracts,31,so we do this 20 times over..?!,2,1,1,31,2,0
091023_1009,1,contracts,31,yeah,8,1,2,28,2,0
091023_1009,1,contracts,31,ok,2,1,1,26,2,0
091023_1009,1,contracts,35,sorry!,2,1,1,59,2,0
091023_1009,1,contracts,35,sneaky!,8,1,2,56,2,0
091023_1009,1,contracts,35,just felt like we should be bidding or something....!,2,1,1,46,2,0
091023_1009,1,contracts,35,"ill do 100 next time if you want to put 99, then we're fair...",2,1,1,24,2,0
091023_1009,1,contracts,35,but everyone else seems to be typing away!,2,1,1,16,2,0
091023_1009,1,contracts,35,"ok, yeah that would work, lol",8,1,2,16,2,0
091023_1009,1,contracts,36,"haha, thank you",8,1,2,57,2,0
091023_1009,1,contracts,36,its fine!,2,1,1,51,2,0
091023_1009,1,contracts,36,think we should try do this properly,2,1,1,43,2,0
091023_1009,1,contracts,36,obviously we still want money,2,1,1,38,2,0
091023_1009,1,contracts,36,yeah,8,1,2,35,2,0
091023_1009,1,contracts,36,what's properly then?,8,1,2,31,2,0
091023_1009,1,contracts,36,"shall we say, lowest bid at 70?",2,1,1,28,2,0
091023_1009,1,contracts,36,"ok, otherwise it gets ridiculous!",8,1,2,20,2,0
091023_1009,1,contracts,36,so from 70-100 we play as part 1,2,1,1,10,2,0
091023_1009,1,contracts,36,ok,8,1,2,7,2,0
091023_1009,1,contracts,36,ooo,2,1,1,2,2,0
091023_1009,1,contracts,37,do you want to raise to 80?,2,1,1,39,2,0
091023_1009,1,contracts,37,"could do, we'd get more that way",8,1,2,28,2,0
091023_1009,1,contracts,37,ok...,2,1,1,4,2,0
091023_1009,1,contracts,38,haha,8,1,2,53,2,0
091023_1009,1,contracts,38,"haha, we should have just done that for 100!",2,1,1,52,2,0
091023_1009,1,contracts,38,"i think we're both abit too honest, felt like i could go 79 but then i felt mean",2,1,1,20,2,0
091023_1009,1,contracts,38,!,2,1,1,14,2,0
091023_1009,1,contracts,38,yeah!,8,1,2,9,2,0
091023_1009,1,contracts,39,haha,2,1,1,57,2,0
091023_1009,1,contracts,39,ahh this is funny,8,1,2,42,2,0
091023_1009,1,contracts,39,can we do one more 100/100 then after that anything goes?,2,1,1,40,2,0
091023_1009,1,contracts,39,ok,8,1,2,37,2,0
091023_1009,1,contracts,40,"haha, was tempted to say 99",8,1,2,56,2,0
091023_1009,1,contracts,40,i know,2,1,1,52,2,0
091023_1009,1,contracts,40,"yeah, we're too honest",8,1,2,44,2,0
091023_1009,1,contracts,40,but its abit awkward to then afterwards be ike 'erm sorry about that....',2,1,1,37,2,0
091023_1009,1,contracts,40,"yeah, it is",8,1,2,21,2,0
091023_1009,1,contracts,40,i dont think in the actual world people have to face others like this!,2,1,1,14,2,0
091023_1009,1,contracts,41,are we having a lower limit? otherwise we'll get down to 4 again!,8,1,2,39,2,0
091023_1009,1,contracts,41,"i have no idea, i just didnt know what to do!Â",2,1,1,27,2,0
091023_1009,1,contracts,41,haha,8,1,2,22,2,0
091023_1009,1,contracts,41,i dont want to go too low,2,1,1,20,2,0
091023_1009,1,contracts,41,no,8,1,2,17,2,0
091023_1009,1,contracts,41,no lower than 70?,8,1,2,14,2,0
091023_1009,1,contracts,41,if it gets below 50 and you win then its worse than half 100,2,1,1,5,2,0
091023_1009,1,contracts,41,ok,2,1,1,1,2,0
091023_1009,1,contracts,42,we'll just end up both at 70 though?!,8,1,2,28,2,0
091023_1009,1,contracts,42,i know....,2,1,1,11,2,0
091023_1009,1,contracts,43,haha,8,1,2,35,2,0
091023_1009,1,contracts,43,im annoyed!,2,1,1,29,2,0
091023_1009,1,contracts,43,we'll end up getting lower and lower,8,1,2,26,2,0
091023_1009,1,contracts,43,sorry!,8,1,2,25,2,0
091023_1009,1,contracts,43,i felt bad putting 68,2,1,1,23,2,0
091023_1009,1,contracts,43,haha its fine.. its probably good,2,1,1,14,2,0
091023_1009,1,contracts,43,lower than 50's not worht it,8,1,2,1,2,0
091023_1009,1,contracts,44,"it will just decrease, so when we hit rock bottom i votw we go back to 100/100",2,1,1,40,2,0
091023_1009,1,contracts,44,"ahh, this is quite hard",8,1,2,40,2,0
091023_1009,1,contracts,44,and work downwards again?,2,1,1,34,2,0
091023_1009,1,contracts,44,ok,8,1,2,34,2,0
091023_1009,1,contracts,44,yeah,8,1,2,31,2,0
091023_1009,1,contracts,45,100/100?,2,1,1,46,2,0
091023_1009,1,contracts,45,4 goes left then,8,1,2,46,2,0
091023_1009,1,contracts,45,yeah,8,1,2,43,2,0
